ACETONE;59.04973;59.04129432;59.05816568;1.162790698;nan
ACETIC ACID;61.02899;61.02027157;61.03770843;1.162790698;7
ISOPRENE;69.07047;69.06060279;69.08033721;1.162790698;3.48
MO1;121.06539;121.0480949;121.0826851;1.162790698;10
MO2;123.08105;123.063467;123.098633;1.162790698;10
MO3;125.09671;125.078839;125.114581;1.162790698;10
MO4;127.11237;127.0942111;127.1305289;1.162790698;10
MO5;129.12803;129.1095831;129.1464769;1.162790698;10
MO6;135.08105;135.0617527;135.1003473;1.162790698;10
MO7;137.06031;137.04073;137.07989;1.162790698;10
MO8;137.09671;137.0771248;137.1162952;1.162790698;10
APINENE;137.13311;137.1135196;137.1527004;1.162790698;9
APINENE;81.0705;81.063;81.085;1.162790698;9
MO2;139.07597;139.056102;139.095838;1.162790698;10
MO3;139.11237;139.0924968;139.1322432;1.162790698;10
MO4;141.09163;141.0714741;141.1117859;1.162790698;10
MO5;141.12803;141.1078689;141.1481911;1.162790698;10
MO6;143.10729;143.0868461;143.1277339;1.162790698;10
MO7;145.12295;145.1022182;145.1436819;1.162790698;10
MO8;147.08105;147.0600384;147.1020616;1.162790698;10
MO1;149.09671;149.0754105;149.1180095;1.162790698;10
MO2;151.07597;151.0543877;151.0975523;1.162790698;10
MO3;151.11237;151.0907825;151.1339575;1.162790698;10
MO4;153.05523;153.033365;153.077095;1.162790698;10
MO5;153.09163;153.0697598;153.1135002;1.162790698;10
MO6;153.12803;153.1061546;153.1499054;1.162790698;10
MO7;155.07089;155.048737;155.093043;1.162790698;10
MO8;155.10729;155.0851318;155.1294482;1.162790698;10
MO1;157.08655;157.0641091;157.1089909;1.162790698;10
MO2;157.12295;157.1005039;157.1453961;1.162790698;10
MO3;159.10221;159.0794811;159.1249389;1.162790698;10
MO4;161.11787;161.0948532;161.1408868;1.162790698;10
MO5;163.07597;163.0526734;163.0992666;1.162790698;10
MO6;165.09163;165.0680455;165.1152145;1.162790698;10
MO7;167.07089;167.0470227;167.0947573;1.162790698;10
MO8;167.10729;167.0834175;167.1311625;1.162790698;10
MO1;169.05015;169.026;169.0743;1.162790698;10
MO2;169.08655;169.0623948;169.1107052;1.162790698;10
MO3;169.12295;169.0987896;169.1471104;1.162790698;10
MO4;171.06581;171.041372;171.090248;1.162790698;10
MO5;171.10221;171.0777668;171.1266532;1.162790698;10
MO6;173.08147;173.0567441;173.1061959;1.162790698;10
MO7;173.11787;173.0931389;173.1426011;1.162790698;10
